"Boattype","Gf_opendepth","Lltrip","Month","Port","Tgt.bag_bin","Year","Effort Offset","Df","Log-Likelihood","AICc","Delta"
"Included","Included","Included","Included","Included","Included","Included","Included",49,-66518.8,133135.6,0
"Included","Included","Included","Included","Included",NA,"Included","Included",48,-66562.4,133220.9,85.3
"Included",NA,"Included","Included","Included","Included","Included","Included",46,-66584.9,133261.8,126.2
"Included",NA,"Included","Included","Included",NA,"Included","Included",45,-66643.9,133377.8,242.2
"Included","Included","Included",NA,"Included","Included","Included","Included",38,-66728.7,133533.4,397.8
"Included","Included","Included",NA,"Included",NA,"Included","Included",37,-66749.3,133572.6,437
NA,"Included","Included","Included","Included","Included","Included","Included",48,-66912.9,133921.9,786.3
NA,"Included","Included","Included","Included",NA,"Included","Included",47,-66957.8,134009.6,874
NA,NA,"Included","Included","Included","Included","Included","Included",45,-66965.6,134021.2,885.7
"Included",NA,"Included",NA,"Included","Included","Included","Included",35,-67003.3,134076.6,941
NA,NA,"Included","Included","Included",NA,"Included","Included",44,-67024.5,134137.1,1001.5
"Included",NA,"Included",NA,"Included",NA,"Included","Included",34,-67045.1,134158.2,1022.6
"Included","Included",NA,"Included","Included","Included","Included","Included",48,-67043.6,134183.3,1047.7
"Included","Included",NA,"Included","Included",NA,"Included","Included",47,-67087.8,134269.6,1134.1
"Included",NA,NA,"Included","Included","Included","Included","Included",45,-67103.3,134296.6,1161
NA,"Included","Included",NA,"Included","Included","Included","Included",37,-67135.9,134345.9,1210.3
NA,"Included","Included",NA,"Included",NA,"Included","Included",36,-67156.7,134385.4,1249.8
"Included",NA,NA,"Included","Included",NA,"Included","Included",44,-67161.4,134410.7,1275.2
"Included","Included",NA,NA,"Included","Included","Included","Included",37,-67255.8,134585.7,1450.1
"Included","Included",NA,NA,"Included",NA,"Included","Included",36,-67276.7,134625.4,1489.8
NA,NA,"Included",NA,"Included","Included","Included","Included",34,-67360.2,134788.5,1652.9
NA,NA,"Included",NA,"Included",NA,"Included","Included",33,-67400.2,134866.4,1730.8
NA,"Included",NA,"Included","Included","Included","Included","Included",47,-67390,134874,1738.5
NA,"Included",NA,"Included","Included",NA,"Included","Included",46,-67435.1,134962.3,1826.7
NA,NA,NA,"Included","Included","Included","Included","Included",44,-67438.3,134964.7,1829.2
"Included",NA,NA,NA,"Included","Included","Included","Included",34,-67485.8,135039.5,1903.9
NA,NA,NA,"Included","Included",NA,"Included","Included",43,-67496.5,135079,1943.4
"Included",NA,NA,NA,"Included",NA,"Included","Included",33,-67525.5,135117.1,1981.5
NA,"Included",NA,NA,"Included","Included","Included","Included",36,-67613.6,135299.1,2163.6
NA,"Included",NA,NA,"Included",NA,"Included","Included",35,-67634.5,135339,2203.4
NA,NA,NA,NA,"Included","Included","Included","Included",33,-67803.8,135673.5,2538
NA,NA,NA,NA,"Included",NA,"Included","Included",32,-67842,135748,2612.5
"Included","Included","Included","Included",NA,"Included","Included","Included",42,-68429.7,136943.4,3807.8
"Included","Included","Included","Included",NA,NA,"Included","Included",41,-68465.3,137012.5,3877
"Included",NA,"Included","Included",NA,"Included","Included","Included",39,-68486.9,137051.8,3916.2
"Included",NA,"Included","Included",NA,NA,"Included","Included",38,-68536,137148,4012.4
"Included","Included","Included",NA,NA,"Included","Included","Included",31,-68597.9,137257.8,4122.3
"Included","Included","Included",NA,NA,NA,"Included","Included",30,-68616.8,137293.7,4158.1
"Included",NA,"Included",NA,NA,"Included","Included","Included",28,-68778.1,137612.3,4476.7
"Included",NA,"Included",NA,NA,NA,"Included","Included",27,-68815.1,137684.2,4548.6
NA,"Included","Included","Included",NA,"Included","Included","Included",41,-68863.9,137809.8,4674.3
NA,"Included","Included","Included",NA,NA,"Included","Included",40,-68903,137886,4750.4
NA,NA,"Included","Included",NA,"Included","Included","Included",38,-68908,137892,4756.4
NA,NA,"Included","Included",NA,NA,"Included","Included",37,-68959.5,137993,4857.4
"Included","Included",NA,"Included",NA,"Included","Included","Included",41,-69006.9,138095.9,4960.3
NA,"Included","Included",NA,NA,"Included","Included","Included",30,-69035.1,138130.2,4994.6
"Included","Included",NA,"Included",NA,NA,"Included","Included",40,-69043.6,138167.1,5031.6
NA,"Included","Included",NA,NA,NA,"Included","Included",29,-69056.1,138170.1,5034.6
"Included",NA,NA,"Included",NA,"Included","Included","Included",38,-69058.1,138192.1,5056.6
"Included",NA,NA,"Included",NA,NA,"Included","Included",37,-69107,138288.1,5152.5
"Included","Included",NA,NA,NA,"Included","Included","Included",30,-69180.7,138421.5,5285.9
NA,NA,"Included",NA,NA,"Included","Included","Included",27,-69192.5,138439,5303.4
"Included","Included",NA,NA,NA,NA,"Included","Included",29,-69200.1,138458.3,5322.7
NA,NA,"Included",NA,NA,NA,"Included","Included",26,-69230.7,138513.4,5377.8
"Included",NA,NA,NA,NA,"Included","Included","Included",27,-69331.7,138717.3,5581.7
"Included",NA,NA,NA,NA,NA,"Included","Included",26,-69367.3,138786.5,5651
NA,"Included",NA,"Included",NA,"Included","Included","Included",40,-69382.1,138844.2,5708.7
NA,NA,NA,"Included",NA,"Included","Included","Included",37,-69422.2,138918.4,5782.8
NA,"Included",NA,"Included",NA,NA,"Included","Included",39,-69422,138921.9,5786.4
NA,NA,NA,"Included",NA,NA,"Included","Included",36,-69473.5,139019,5883.4
NA,"Included",NA,NA,NA,"Included","Included","Included",29,-69556.4,139170.9,6035.3
NA,"Included",NA,NA,NA,NA,"Included","Included",28,-69577.7,139211.4,6075.8
NA,NA,NA,NA,NA,"Included","Included","Included",26,-69690.3,139432.7,6297.1
NA,NA,NA,NA,NA,NA,"Included","Included",25,-69727.3,139504.6,6369
